Unnamed: 0,ENSG00000215021,ENSG00000215845,ENSG00000227097,ENSG00000231389,ENSG00000233276,ENSG00000234741,ENSG00000234745,ENSG00000239998,ENSG00000241553,ENSG00000242574,ENSG00000245910,ENSG00000247596,ENSG00000254999,ENSG00000256514,ENSG00000256618,ENSG00000260592,ENSG00000265150,ENSG00000266422,ENSG00000269858
28,33.01,13.56,649.59,65.62,401.0,13.34,294.79,52.21,45.03,12.57,31.37,17.91,23.07,20.11,63.8,14.29,147.0,61.1,29.11
50,75.61,30.86,1688.26,393.37,402.12,68.17,1932.44,81.5,205.16,69.3,66.07,54.19,66.02,22.5,18.36,17.95,1667.6,900.54,58.71
10,52.27,26.91,1372.12,487.14,235.79,29.63,4019.67,141.16,243.53,93.26,43.55,50.74,60.8,0.0,0.0,36.96,1630.62,1091.29,65.97
34,92.82,43.48,2588.3,221.21,287.33,36.09,746.76,58.3,40.77,22.7,72.78,18.59,38.37,55.4,81.84,10.57,356.46,429.53,33.29
12,64.32,25.2,1100.45,393.96,347.37,31.88,7830.54,273.21,429.53,106.55,46.34,112.89,76.05,22.5,90.4,16.29,3435.88,1375.26,109.49
54,17.96,16.67,314.06,21.06,199.1,13.66,517.37,59.09,82.87,0.0,20.41,13.57,35.13,11.16,146.7,12.18,520.11,330.74,34.61
47,21.29,11.24,488.48,91.51,189.41,13.82,918.35,34.65,71.32,20.28,16.59,16.75,26.01,12.41,34.22,19.68,402.25,248.82,24.94
31,22.49,29.94,1145.27,76.01,299.16,0.0,510.72,42.99,40.3,0.0,27.26,14.56,35.61,0.0,85.59,58.66,835.82,217.42,23.72
9,67.91,31.27,2003.12,447.54,167.25,52.43,3859.71,146.02,283.03,113.9,71.31,55.24,70.12,13.12,0.0,26.87,3474.44,2170.52,78.86
45,17.97,10.15,250.25,79.54,306.07,0.0,1038.64,44.95,95.58,22.12,15.84,20.16,28.62,17.19,35.72,28.06,439.21,215.68,24.98
5,39.29,23.07,998.33,246.55,152.25,47.26,2616.44,122.65,211.62,53.49,45.25,40.02,45.43,10.74,0.0,37.88,3927.28,2225.23,61.8
22,27.0,22.95,673.01,104.79,193.69,33.44,169.38,24.59,20.31,18.84,24.76,10.26,17.31,0.0,56.98,31.43,400.11,400.6,16.94
56,37.64,20.13,935.6,196.4,340.09,22.92,857.87,66.83,121.67,36.33,41.71,26.03,38.51,19.86,67.78,26.95,294.68,184.18,34.74
49,41.44,16.54,787.28,336.3,355.59,19.68,3081.3,86.17,186.03,52.49,30.01,41.73,43.71,22.53,20.89,22.74,602.48,259.49,45.72
33,38.36,16.86,941.69,111.14,257.76,18.65,383.28,51.81,48.96,17.05,24.74,17.37,26.49,20.19,132.7,0.0,474.76,307.98,21.87
39,111.17,43.29,2819.76,740.04,343.8,65.57,3387.06,134.91,339.03,127.1,81.11,71.48,124.18,34.45,45.92,15.72,597.0,243.16,90.27
59,24.08,10.11,976.97,41.59,167.25,36.94,202.33,12.89,26.12,14.54,50.64,0.0,21.83,12.18,24.37,17.59,491.3,319.79,0.0
16,0.0,0.0,55.99,10.1,273.82,0.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.06,0.0,437.21,238.26,0.0
